6, 8, 2, 1, 0,0.0, -19.656232833862305, -20.435749053955078, -24.008296966552734, -26.46491813659668,6
6, 5, 2, 3, 1,-0.0009546279907226562, -7.580683708190918, -7.798461437225342, -10.429343223571777, -13.412424087524414,2
10, 2, 0, 5, 9,0.0, -17.99188995361328, -18.080766677856445, -20.229164123535156, -22.12053680419922,10
8, 6, 4, 10, 0,-1.9073486328125e-06, -13.433917999267578, -13.722085952758789, -16.25763702392578, -18.204484939575195,8
10, 5, 2, 0, 9,0.0, -18.70956039428711, -19.379871368408203, -19.820087432861328, -22.07740592956543,10
2, 6, 3, 11, 0,0.0, -15.715986251831055, -16.61679458618164, -17.79584312438965, -17.88930320739746,2
1, 0, 11, 2, 10,-0.006005287170410156, -5.147536277770996, -8.890918731689453, -10.998737335205078, -11.453721046447754,1
5, 4, 6, 7, 10,-0.0003833770751953125, -8.534599304199219, -9.254133224487305, -9.940001487731934, -11.081001281738281,5
10, 8, 2, 9, 0,-7.62939453125e-06, -11.917621612548828, -14.642179489135742, -18.466049194335938, -18.795982360839844,10
11, 9, 10, 4, 8,-9.5367431640625e-06, -11.723857879638672, -14.869051933288574, -15.973333358764648, -16.35338592529297,11
0, 11, 1, 7, 9,0.0, -15.227699279785156, -16.232698440551758, -18.015857696533203, -19.1846923828125,0
1, 6, 11, 0, 2,0.0, -16.470914840698242, -17.636098861694336, -19.113723754882812, -19.51346778869629,1
11, 3, 0, 9, 2,-1.33514404296875e-05, -11.403719902038574, -13.083439826965332, -18.845029830932617, -21.292198181152344,11
11, 2, 8, 0, 9,0.0, -20.596643447875977, -20.633298873901367, -20.86244010925293, -21.7978458404541,11
3, 5, 4, 6, 2,-5.7220458984375e-06, -12.180713653564453, -14.858185768127441, -16.395627975463867, -16.516193389892578,3
0, 11, 2, 3, 10,-3.814697265625e-06, -12.250350952148438, -19.56134796142578, -19.706571578979492, -21.063339233398438,0
3, 5, 2, 11, 6,0.0, -19.43663787841797, -21.864831924438477, -22.156394958496094, -22.68964385986328,3
2, 11, 3, 0, 10,0.0, -19.051464080810547, -19.074634552001953, -20.220964431762695, -21.893657684326172,2
1, 11, 2, 6, 0,0.0, -14.039689064025879, -17.2006893157959, -18.11479949951172, -19.472156524658203,1
10, 5, 4, 8, 7,-0.6380577087402344, -0.7983541488647461, -3.894972324371338, -6.769575119018555, -10.365307807922363,10
8, 6, 10, 4, 9,0.0, -17.367568969726562, -22.072162628173828, -23.086139678955078, -25.114063262939453,8
